cell,bin_sha,LDS,text,TF,ms_per_rep,reps,span_ticks,computed,coast,coast_per_computed,door1,door2,door3,door4,occ20,occ86,occ96,growfail,sclk_busy_mean,power_peak,temp_peak,oracle,workexact
base,58e965a46f3e162d,34304,28852,17.5,5.5365,125,69206856,11520000,14353993,1.246,14353993,0,0,0,384,20437175,2880000,0,2140,97,53,clean,exact
accn2,6bc334a3fbf5a071,17920,28292,16.2,5.9718,121,72258408,11151360,18235627,1.635,18235627,0,0,0,384,22188183,5575680,0,2206,106,55,clean,exact
segk128,9bc29fd82ce43cf7,34304,26388,10.2,9.4571,95,89842864,17510400,9689813,0.553,9689813,0,0,0,384,12430226,4377600,0,2166,91,56,clean,exact
segk64,c7baa9102704a54f,34304,25148,5.6,17.2166,64,110185984,23592960,7256066,0.308,7256066,0,0,0,384,7448217,5898240,0,2180,82,57,clean,exact
fm1,6e2442c430638261,17920,25772,13.0,3.7271,157,58515776,14469120,18262929,1.262,18262929,0,0,0,384,23634722,3617280,0,2142,101,57,clean,exact
fm4fn2,eeb1a12ed731da52,34304,29620,17.4,5.5558,125,69447192,11520000,12576740,1.092,12576740,0,0,0,384,17798481,2880000,0,2084,118,58,clean,exact
fn2,f492501ef44230bb,17920,25588,13.1,3.6876,158,58264104,14561280,18001281,1.236,18001281,0,0,0,384,23693781,3640320,0,2156,110,58,clean,exact
g4,16d1fdf973e63194,34304,28688,14.4,3.3631,163,54818700,7511040,14194478,1.890,14194478,0,0,0,384,21376622,1877760,0,2209,97,58,clean,exact
g6accn3,e26e85794c8b32a4,26112,28484,16.0,4.5314,141,63893380,9745920,13569264,1.392,13569264,0,0,0,384,18845123,3248640,0,2125,94,58,clean,exact
g6accn2,15697dad97427877,17920,28204,14.6,4.9635,135,67007832,9331200,16731003,1.793,16731003,0,0,0,384,20557178,4665600,0,2307,104,58,clean,exact
waves8,a9d9397450c8492c,34304,29012,16.4,5.8770,122,71699372,11243520,29084865,2.587,29084865,0,0,0,384,38014130,2810880,0,1975,110,59,clean,exact
waves16,1ada6f952f28e1b7,34304,29684,12.7,7.5964,107,81281368,9861120,128421144,13.023,128421144,0,0,0,384,149912077,2465280,0,1806,108,58,clean,exact
