cell,status,WAVES,FM,FN,G,ACC_N,SEGK,GROUPS,NFV,LDS,text_bytes,superM,feed_ratio,wgs_per_cu,waves_per_cu,livereg_peak,hw_vgpr,req_vgpr,sgpr,vspill,sspill,isa_bytes,wmma,bload_tr,aload,ds_add,gstore,s_add_co,v_mov,s_mov,waits,branches,total_instr
base,OK,6,2,4,8,4,256,1000,112,34304,28852,256,0.750,1,6,82,120,108,72,0,0,27452,256,132,66,135,64,253,934,777,495,527,
5291,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accn2,OK,6,2,4,8,2,256,1000,112,17920,28292,256,0.750,3,18,82,120,108,72,0,0,27020,256,132,66,135,32,253,942,783,483,531,
5243,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
segk128,OK,6,2,4,8,4,128,1000,112,34304,26388,256,0.750,1,6,82,120,108,72,0,0,25372,128,68,34,135,64,205,934,777,479,527,
4995,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
segk64,OK,6,2,4,8,4,64,1000,112,34304,25148,256,0.750,1,6,82,120,108,72,0,0,24328,64,36,18,135,64,181,934,777,471,527,
4847,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm1,OK,6,1,4,8,4,256,1000,80,17920,25772,128,1.250,3,18,48,96,74,72,0,0,24628,128,132,34,71,32,219,870,777,479,527,
4873,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm4fn2,OK,6,4,2,8,4,256,1000,112,34304,29620,512,0.750,1,6,82,120,108,72,0,0,28224,256,68,130,135,64,381,934,777,495,527,
5483,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fn2,OK,6,2,2,8,4,256,1000,80,17920,25588,256,1.000,3,18,46,72,72,72,0,0,24576,128,68,66,71,32,253,870,777,479,527,
4891,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fn8,REFUSED,6,2,8,8,4,256,,,,,,,,,,,,,,,,,,,,,,,,,,
fm4fn4,REFUSED,6,4,4,8,4,256,,,,,,,,,,,,,,,,,,,,,,,,,,
waves4,REFUSED,4,2,4,8,4,256,,,,,,,,,,,,,,,,,,,,,,,,,,
waves8,OK,8,2,4,8,4,256,1000,112,34304,29012,256,0.750,1,8,82,120,108,72,0,0,27612,256,132,66,135,64,253,942,785,499,531,
5327,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waves16,OK,16,2,4,8,4,256,1000,112,34304,29684,256,0.750,1,16,82,120,108,72,0,0,28288,256,132,66,135,64,253,974,817,515,547,
5471,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g4,OK,6,2,4,4,4,256,1000,112,34304,28688,128,0.750,1,6,82,120,108,72,0,0,27288,256,132,66,135,64,250,930,778,493,523,
5257,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g6accn3,OK,6,2,4,6,3,256,1000,112,26112,28484,192,0.750,2,12,82,120,108,72,0,0,27148,256,132,66,135,48,253,934,776,487,527,
5249,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g6accn2,OK,6,2,4,6,2,256,1000,112,17920,28204,192,0.750,3,18,82,120,108,72,0,0,26932,256,132,66,135,32,253,938,779,481,529,
5225,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
